time,station,rr,tl,p,so_h,ff,substation
2023-04-01T00:00+00:00,1,0.0,4.4,915.2,0.0,0.2,10200
2023-04-01T00:00+00:00,105,0.0,11.1,977.3,0.0,8.4,5904
2023-04-01T01:00+00:00,1,0.0,4.4,915.1,0.0,0.7,10200
2023-04-01T01:00+00:00,105,0.0,10.7,977.6,0.0,8.3,5904
2023-04-01T02:00+00:00,1,0.1,4.2,914.6,0.0,0.4,10200
2023-04-01T02:00+00:00,105,0.0,10.4,977.4,0.0,5.6,5904
2023-04-01T03:00+00:00,1,0.0,4.2,914.5,0.0,0.7,10200
2023-04-01T03:00+00:00,105,0.0,10.1,977.4,0.0,6.1,5904
2023-04-01T04:00+00:00,1,0.1,4.0,914.7,0.0,0.6,10200
2023-04-01T04:00+00:00,105,0.1,9.6,977.6,0.0,6.6,5904
2023-04-01T05:00+00:00,1,0.0,3.8,914.6,0.0,0.5,10200
2023-04-01T05:00+00:00,105,0.0,9.5,977.4,0.0,5.6,5904
2023-04-01T06:00+00:00,1,0.0,4.4,914.8,0.0,1.2,10200
2023-04-01T06:00+00:00,105,0.0,10.5,977.9,0.9,6.3,5904
2023-04-01T07:00+00:00,1,0.0,6.8,914.7,0.3,1.5,10200
2023-04-01T07:00+00:00,105,0.0,12.2,978.2,1.0,7.0,5904
2023-04-01T08:00+00:00,1,0.0,7.6,915.1,0.1,0.9,10200
2023-04-01T08:00+00:00,105,0.0,13.2,978.4,1.0,6.1,5904
2023-04-01T09:00+00:00,1,0.0,8.0,915.5,0.5,1.7,10200
2023-04-01T09:00+00:00,105,0.0,13.2,978.8,0.4,6.4,5904
2023-04-01T10:00+00:00,1,0.0,9.2,915.8,0.6,2.4,10200
2023-04-01T10:00+00:00,105,0.0,13.6,979.0,0.0,6.1,5904
2023-04-01T11:00+00:00,1,0.0,8.5,915.9,0.3,3.5,10200
2023-04-01T11:00+00:00,105,0.0,13.5,979.0,0.2,5.8,5904
2023-04-01T12:00+00:00,1,0.0,9.7,915.8,0.2,2.7,10200
2023-04-01T12:00+00:00,105,0.0,14.1,978.9,0.0,4.6,5904
2023-04-01T13:00+00:00,1,0.0,10.5,915.5,0.4,2.4,10200
2023-04-01T13:00+00:00,105,0.0,13.7,978.9,0.3,5.6,5904
2023-04-01T14:00+00:00,1,0.0,10.4,915.4,0.1,2.2,10200
2023-04-01T14:00+00:00,105,0.0,16.0,978.5,0.5,5.8,5904
2023-04-01T15:00+00:00,1,0.1,10.1,915.6,0.2,1.0,10200
2023-04-01T15:00+00:00,105,0.0,15.4,978.3,0.7,5.3,5904
2023-04-01T16:00+00:00,1,0.0,10.5,915.6,0.6,2.1,10200
