time,station,rr,tl_mittel,bewm_mittel,so_h,vv_mittel,substation
2024-08-01T00:00+00:00,1,69.5,22.6,73.0,6.3,1.0,10200
2024-08-01T00:00+00:00,105,0.1,26.5,80.0,4.9,2.1,5904
2024-08-02T00:00+00:00,1,0.4,20.2,67.0,2.8,2.1,10200
2024-08-02T00:00+00:00,105,0.3,26.1,90.0,5.8,5.2,5904
2024-08-03T00:00+00:00,1,-1.0,18.4,40.0,8.4,0.6,10200
2024-08-03T00:00+00:00,105,0.0,22.9,33.0,9.0,4.5,5904
2024-08-04T00:00+00:00,1,0.8,17.8,53.0,3.8,2.1,10200
2024-08-04T00:00+00:00,105,2.1,21.8,83.0,2.7,2.6,5904
2024-08-05T00:00+00:00,1,0.1,17.7,57.0,1.6,1.5,10200
2024-08-05T00:00+00:00,105,10.5,20.5,80.0,0.4,2.6,5904
2024-08-06T00:00+00:00,1,-1.0,19.9,13.0,8.9,2.1,10200
2024-08-06T00:00+00:00,105,-1.0,19.7,3.0,14.0,1.5,5904
2024-08-07T00:00+00:00,1,15.9,20.9,47.0,6.3,1.0,10200
2024-08-07T00:00+00:00,105,0.1,23.1,53.0,11.3,1.5,5904
2024-08-08T00:00+00:00,1,2.5,20.2,50.0,4.8,1.0,10200
2024-08-08T00:00+00:00,105,0.0,27.1,83.0,5.4,3.2,5904
2024-08-09T00:00+00:00,1,-1.0,20.1,37.0,9.5,2.1,10200
2024-08-09T00:00+00:00,105,-1.0,23.9,67.0,9.6,2.6,5904
2024-08-10T00:00+00:00,1,-1.0,21.9,20.0,7.0,2.1,10200
2024-08-10T00:00+00:00,105,-1.0,25.6,57.0,8.4,3.2,5904
2024-08-11T00:00+00:00,1,-1.0,22.6,10.0,12.1,1.5,10200
2024-08-11T00:00+00:00,105,-1.0,26.6,7.0,13.7,2.1,5904
2024-08-12T00:00+00:00,1,-1.0,23.9,10.0,9.7,1.0,10200
2024-08-12T00:00+00:00,105,6.1,27.2,47.0,10.3,2.1,5904
2024-08-13T00:00+00:00,1,6.8,23.7,50.0,6.4,1.0,10200
2024-08-13T00:00+00:00,105,-1.0,27.9,53.0,9.4,1.5,5904
2024-08-14T00:00+00:00,1,-1.0,22.8,60.0,5.8,1.0,10200
2024-08-14T00:00+00:00,105,0.0,27.3,47.0,9.1,2.1,5904
2024-08-15T00:00+00:00,1,-1.0,21.6,37.0,7.8,1.0,10200
2024-08-15T00:00+00:00,105,0.0,27.7,30.0,12.2,3.2,5904
2024-08-16T00:00+00:00,1,13.6,23.0,33.0,8.3,1.0,10200
2024-08-16T00:00+00:00,105,0.1,28.0,60.0,11.1,2.1,5904
2024-08-17T00:00+00:00,1,14.1,22.6,70.0,5.0,1.0,10200
2024-08-17T00:00+00:00,105,113.9,26.3,77.0,7.3,2.1,5904
2024-08-18T00:00+00:00,1,5.1,21.7,70.0,4.0,1.0,10200
2024-08-18T00:00+00:00,105,-1.0,25.1,67.0,4.9,3.8,5904
2024-08-19T00:00+00:00,1,0.4,19.3,63.0,2.0,1.5,10200
2024-08-19T00:00+00:00,105,-1.0,22.8,80.0,9.5,5.2,5904
2024-08-20T00:00+00:00,1,2.2,19.9,43.0,5.0,1.0,10200
2024-08-20T00:00+00:00,105,-1.0,23.8,80.0,5.8,2.6,5904
2024-08-21T00:00+00:00,1,0.1,19.1,43.0,1.4,1.0,10200
2024-08-21T00:00+00:00,105,0.4,23.0,83.0,1.7,5.9,5904
2024-08-22T00:00+00:00,1,-1.0,17.2,47.0,5.7,1.5,10200
2024-08-22T00:00+00:00,105,-1.0,20.0,83.0,6.1,2.1,5904
2024-08-23T00:00+00:00,1,-1.0,20.6,30.0,8.4,1.5,10200
2024-08-23T00:00+00:00,105,-1.0,22.1,50.0,12.9,1.5,5904
2024-08-24T00:00+00:00,1,-1.0,21.7,13.0,10.8,1.5,10200
2024-08-24T00:00+00:00,105,-1.0,24.8,23.0,12.3,2.6,5904
2024-08-25T00:00+00:00,1,22.7,20.9,50.0,7.8,2.1,10200
2024-08-25T00:00+00:00,105,-1.0,25.7,50.0,11.9,4.5,5904
2024-08-26T00:00+00:00,1,0.5,19.4,50.0,6.2,1.5,10200
2024-08-26T00:00+00:00,105,-1.0,22.4,77.0,10.3,3.8,5904
2024-08-27T00:00+00:00,1,-1.0,19.7,,8.3,0.6,10200
2024-08-27T00:00+00:00,105,-1.0,23.3,67.0,7.2,3.2,5904
2024-08-28T00:00+00:00,1,-1.0,21.1,43.0,7.9,1.0,10200
2024-08-28T00:00+00:00,105,-1.0,25.2,60.0,10.8,2.1,5904
2024-08-29T00:00+00:00,1,4.3,21.3,70.0,6.3,0.6,10200
2024-08-29T00:00+00:00,105,-1.0,26.2,37.0,11.9,2.1,5904
2024-08-30T00:00+00:00,1,-1.0,21.8,33.0,6.9,1.0,10200
2024-08-30T00:00+00:00,105,-1.0,27.0,47.0,10.5,0.6,5904
2024-08-31T00:00+00:00,1,0.1,21.1,70.0,10.1,1.0,10200
2024-08-31T00:00+00:00,105,-1.0,26.7,40.0,11.3,2.1,5904
2024-09-01T00:00+00:00,1,-1.0,20.5,57.0,8.0,1.0,10200
2024-09-01T00:00+00:00,105,-1.0,25.3,53.0,11.0,1.5,5904
